,id,proto,srcip,dstip,srcport,dstport,payload_size,shannon,bien,tbien,flow
153,V5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5982946786757005,0.0607393874848876,0.9697335101136568,127.0.0.1:1151 -> 127.0.0.1:8088
155,W5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6004367699025047,0.9500726590071256,0.9879907278909345,127.0.0.1:1151 -> 127.0.0.1:8088
156,Mpi1GHwBASTB4nx9-QMi,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.622479461169979,0.4572603903315046,0.9818796188709004,127.0.0.1:1151 -> 127.0.0.1:8088
157,X5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6031828217579553,0.935364327184264,0.9845755997294146,127.0.0.1:1151 -> 127.0.0.1:8088
159,Y5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.602166260493468,0.2429306797911644,0.9807550838499668,127.0.0.1:1151 -> 127.0.0.1:8088
160,Npi1GHwBASTB4nx9-QMi,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6043433349169345,0.951411932504801,0.9891980933932788,127.0.0.1:1151 -> 127.0.0.1:8088
162,a5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5820221524374534,0.9205606164080844,0.9846382964951548,127.0.0.1:1151 -> 127.0.0.1:8088
164,b5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6069382891418035,0.4596466144786023,0.9831857207084318,127.0.0.1:1151 -> 127.0.0.1:8088
166,c5i1GHwBASTB4nx9-QN5,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5741170419175123,0.2359987471760222,0.9763586607877324,127.0.0.1:1151 -> 127.0.0.1:8088
169,UZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6245964116707783,0.95110125652292,0.9900010724908108,127.0.0.1:1151 -> 127.0.0.1:8088
171,VZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6182876891011332,0.9442788617342436,0.9851505585310169,127.0.0.1:1151 -> 127.0.0.1:8088
173,WZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5996130053076707,0.933263601539745,0.9859194117108294,127.0.0.1:1151 -> 127.0.0.1:8088
175,XZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.592977376644538,0.9200206155050034,0.9719423115380976,127.0.0.1:1151 -> 127.0.0.1:8088
177,YZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.5814423257516449,0.9506757542735412,0.9866744417693812,127.0.0.1:1151 -> 127.0.0.1:8088
179,ZZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.6035030120090338,0.9514687662793913,0.9889773027135932,127.0.0.1:1151 -> 127.0.0.1:8088
181,aZi1GHwBASTB4nx96gGP,tcp,127.0.0.1,127.0.0.1,1151,8088,32,0.587701773652447,0.4714404947826761,0.9808571826197776,127.0.0.1:1151 -> 127.0.0.1:8088
